,div?,home?,passing,rush,receive,kick,fumble,fum_lost,score,kicker_ratio,time,oppo_tot,oppo_sack,oppo_inn,pen_dif,pen_yard_dif
0,0,0,128.9,4.6,11.6,3,2,1,29,0.75,0,68,4,0,0,3
1,0,1,72.9,5.2,11.8,5,0,0,17,1.0,0,63,3,2,0,-3
2,0,0,135.7,3.3,14.4,5,1,0,35,0.8333333333333334,1,44,0,0,-1,-54
3,0,1,106.7,6.3,7.2,6,0,0,32,1.0,1,70,2,0,1,54
4,0,0,66.5,3.6,9.6,3,1,1,21,1.0,1,52,0,2,2,15
5,0,1,108.1,6.2,9.1,6,1,0,42,0.8571428571428571,1,85,2,0,-2,-15
6,1,0,53.5,4.2,12.7,3,2,0,9,1.0,1,77,1,3,1,19
7,1,1,78.5,3.8,9.8,1,0,0,15,1.0,1,63,0,1,-1,-19
8,0,0,45.6,3.5,6.9,3,0,0,3,0.5,1,71,9,1,-2,-20
9,0,1,89.2,2.5,7.4,14,2,1,26,1.0,1,65,4,0,2,20
10,1,0,46.8,6.1,11.4,5,2,0,17,0.75,1,56,5,2,0,0
11,1,1,101.1,5.1,8.6,8,2,1,20,1.0,1,74,2,0,0,0
12,0,0,82.0,3.8,8.2,8,1,1,20,1.0,1,82,0,1,3,30
13,0,1,68.9,5.7,10.8,5,2,2,17,0.75,1,62,2,0,-3,-30
14,0,0,81.6,2.5,11.4,8,0,0,20,1.0,1,64,2,1,2,16
15,0,1,77.8,4.6,9.9,5,0,0,17,1.0,1,67,3,1,-2,-16
16,0,0,99.2,3.8,12.3,8,1,1,20,1.0,1,56,2,0,1,15
17,0,1,109.0,4.5,9.4,9,1,1,27,0.8333333333333334,1,78,0,0,-1,-15
18,1,0,106.9,4.6,10.6,7,1,0,31,1.0,2,77,2,1,-6,-43
19,1,1,101.5,5.8,7.0,3,3,1,21,1.0,2,63,5,0,6,43
20,0,0,80.0,2.8,12.7,7,3,0,13,1.0,2,51,4,0,-3,-2
21,0,1,79.7,2.5,7.8,10,0,0,16,0.8,2,80,1,0,3,2
22,0,0,49.0,5.9,16.0,5,0,0,17,1.0,2,57,3,0,-2,-18
23,0,1,80.9,4.1,10.4,6,0,0,20,0.5,2,91,4,1,2,18
24,0,0,87.9,4.7,11.1,9,1,0,27,1.0,2,63,3,0,0,-9
25,0,1,85.8,3.2,11.2,7,0,0,13,1.0,2,47,4,1,0,9
