,Unnamed: 0,div?,home?,passing,rush,receive,kick,fumble,fum_lost,score,kicker_ratio,time,oppo_tot,oppo_sack,oppo_inn,pen_dif,pen_yard_dif
125,9,1,1,97.2,3.7,11.8,11,2,1,29,1.0,1,71,3,1,-4,-55
126,10,1,0,107.8,5.0,9.9,7,1,1,31,0.8333333333333334,1,83,1,0,1,0
127,11,1,1,35.1,4.4,8.5,0,1,1,0,0.0,1,45,4,1,-1,0
128,12,0,0,53.9,5.4,8.1,9,0,0,9,0.75,1,59,3,1,0,8
129,13,0,1,104.1,2.7,8.1,8,0,0,20,0.8,1,72,2,0,0,-8
130,14,0,0,133.7,4.5,12.1,15,3,0,33,1.0,1,77,2,0,-3,-46
131,15,0,1,83.9,4.1,9.8,0,0,0,18,0.0,1,58,2,1,3,46
132,16,0,0,101.5,3.7,8.5,5,0,0,17,1.0,2,72,1,1,0,-7
133,17,0,1,90.8,4.8,8.9,9,0,0,15,1.0,2,61,2,0,0,7
134,18,0,0,71.3,2.4,9.1,1,3,2,7,1.0,2,59,2,0,-4,-8
135,19,0,1,117.8,4.7,11.3,13,1,0,37,1.0,2,73,1,0,4,8
136,20,1,0,80.1,4.3,11.0,7,1,0,19,1.0,2,70,7,1,5,-26
137,21,1,1,111.8,3.4,11.2,6,0,0,20,0.6666666666666666,2,70,1,0,-5,26
138,22,1,0,93.6,2.8,15.0,5,1,1,23,0.75,2,64,1,2,4,46
139,23,1,1,99.4,5.4,7.7,4,4,2,30,0.8,2,79,4,1,-4,-46
140,24,1,0,62.2,5.0,11.7,3,2,1,9,1.0,1,80,1,2,-2,-23
141,25,1,1,57.2,3.7,12.3,10,0,0,22,0.8,1,53,1,1,2,23
142,26,1,0,84.0,4.8,9.5,6,2,1,14,1.0,2,59,0,0,3,27
143,27,1,1,75.0,4.0,9.7,4,1,1,10,0.6666666666666666,2,55,2,0,-3,-27
144,28,0,0,107.1,4.4,11.0,2,1,0,28,0.6666666666666666,0,80,5,1,-1,-17
145,29,0,1,63.4,6.7,15.4,12,0,0,36,0.75,0,65,0,2,1,17
146,30,1,0,98.8,3.6,10.0,11,1,1,29,1.0,1,65,0,0,0,15
147,31,1,1,67.9,3.5,12.0,3,3,1,21,1.0,1,57,1,2,0,-15
148,32,1,0,100.0,5.1,9.3,10,2,2,22,1.0,1,65,4,0,6,87
149,33,1,1,91.9,3.4,8.6,6,2,0,24,0.8,1,69,0,1,-6,-87
150,34,0,0,115.2,6.7,15.3,7,1,0,33,0.6,1,60,0,0,2,17
151,35,0,1,93.2,2.5,10.0,7,0,0,13,1.0,1,85,2,0,-2,-17
152,36,1,0,85.7,3.7,8.0,3,4,4,9,0.5,1,65,4,1,1,22
153,37,1,1,139.2,4.4,12.9,12,1,0,48,1.0,1,66,3,0,-1,-22
154,38,0,0,96.3,4.6,11.7,12,2,0,30,1.0,1,84,3,0,-1,-3
155,39,0,1,59.8,4.6,10.6,9,0,0,9,1.0,1,56,3,0,1,3
156,40,1,0,35.5,1.0,9.2,0,0,0,0,0.0,1,50,3,4,7,64
157,41,1,1,81.5,3.0,9.6,8,1,0,20,0.8,1,75,4,0,-7,-64
158,42,1,0,58.8,3.5,9.6,13,2,0,27,1.0,1,83,4,2,0,-5
159,43,1,1,57.8,4.3,11.7,0,3,3,20,0.0,1,50,5,1,0,5
160,44,0,0,74.2,5.6,9.0,4,1,1,10,1.0,2,58,2,1,4,35
161,45,0,1,118.6,4.7,9.9,8,0,0,38,1.0,2,81,1,0,-4,-35
162,46,0,0,68.6,5.2,11.2,1,1,1,21,1.0,2,63,2,1,-3,-19
163,47,0,1,133.1,4.1,12.0,13,0,0,37,1.0,2,77,2,0,3,19
164,48,0,0,103.3,4.3,11.0,8,2,0,26,0.8,1,72,5,0,4,21
165,49,0,1,125.6,3.3,13.9,11,4,2,23,0.8333333333333334,1,81,5,0,-4,-21
166,50,0,0,86.0,9.1,8.6,9,0,0,27,1.0,2,67,3,1,3,41
167,51,0,1,105.6,4.7,11.7,9,1,0,33,1.0,2,74,2,0,-3,-41
168,52,1,0,70.8,6.0,12.4,12,2,1,30,1.0,2,64,2,2,4,11
169,53,1,1,141.1,5.0,11.8,9,1,0,45,1.0,2,72,3,0,-4,-11
170,54,1,0,139.2,4.2,12.5,12,1,0,30,1.0,2,57,3,0,-2,-14
171,55,1,1,72.1,4.7,12.0,11,1,0,23,1.0,2,67,4,2,2,14
172,56,1,0,105.8,4.3,13.2,8,1,1,34,1.0,0,62,1,1,-1,-24
173,57,1,1,80.7,4.9,10.7,4,1,1,28,1.0,0,75,0,1,1,24
174,58,0,0,74.2,4.3,11.5,5,2,0,17,1.0,1,56,1,2,6,37
175,59,0,1,49.7,5.8,11.4,9,0,0,27,0.8333333333333334,1,69,1,1,-6,-37
176,60,0,0,56.5,5.2,8.7,0,2,0,14,0.0,1,70,4,1,-3,-12
177,61,0,1,91.5,4.4,11.1,7,1,0,31,1.0,1,70,4,1,3,12
178,62,0,0,74.8,5.0,10.8,6,1,0,12,1.0,1,65,2,1,1,34
179,63,0,1,139.7,3.7,10.3,12,1,1,30,1.0,1,70,2,0,-1,-34
180,64,1,0,92.2,2.9,11.0,12,0,0,30,1.0,1,63,1,1,5,25
181,65,1,1,73.4,4.3,9.5,10,0,0,16,1.0,1,73,3,0,-5,-25
182,66,1,0,76.7,4.2,13.1,6,1,1,24,1.0,1,61,6,0,-2,-13
183,67,1,1,75.5,4.4,12.3,7,2,1,31,1.0,1,68,1,2,2,13
184,68,1,0,98.6,4.2,7.8,9,3,1,21,0.6,1,82,3,0,0,11
185,69,1,1,32.3,5.2,9.5,6,1,1,6,1.0,1,58,1,3,0,-11
186,70,0,0,68.9,4.8,6.7,7,5,3,13,1.0,1,91,4,1,2,38
187,71,0,1,80.1,2.1,9.3,13,0,0,19,0.8333333333333334,1,51,3,0,-2,-38
188,72,0,0,103.8,4.3,10.5,9,0,0,15,1.0,2,56,3,0,0,-22
189,73,0,1,78.8,3.9,10.3,4,1,1,10,0.6666666666666666,2,70,3,0,0,22
190,74,0,0,92.7,2.7,12.4,7,1,1,13,1.0,2,55,3,0,-1,-6
191,75,0,1,119.3,5.1,13.1,7,2,1,31,1.0,2,63,0,0,1,6
192,76,0,0,132.2,3.8,11.7,7,0,0,31,1.0,1,63,3,0,0,20
193,77,0,1,99.5,5.5,7.7,6,0,0,30,1.0,1,65,1,0,0,-20
194,78,1,0,66.0,2.0,11.8,9,1,0,9,1.0,2,66,2,0,3,11
195,79,1,1,57.1,5.6,8.2,0,1,1,0,0.0,2,71,4,1,-3,-11
196,80,0,0,80.6,3.9,9.4,10,5,1,16,1.0,1,73,2,1,4,3
197,81,0,1,89.2,3.7,7.4,2,0,0,14,0.6666666666666666,1,57,0,0,-4,-3
198,82,1,0,69.3,4.0,7.3,5,1,0,17,1.0,2,73,4,1,-2,-37
199,83,1,1,96.6,4.1,11.0,3,4,3,9,0.5,2,70,3,0,2,37
200,84,1,0,81.9,3.0,9.7,5,2,0,17,1.0,1,53,2,0,-2,-23
201,85,1,1,110.4,5.8,14.8,9,2,1,27,1.0,1,89,3,1,2,23
202,86,1,0,55.3,4.2,9.2,4,0,0,10,1.0,2,56,3,1,4,31
203,87,1,1,106.1,4.2,11.6,8,0,0,20,1.0,2,65,4,1,-4,-31
204,0,0,0,88.1,4.0,12.4,5,3,0,17,1.0,0,62,2,2,-1,-16
205,1,0,1,103.3,3.8,9.5,8,0,0,20,1.0,0,61,4,0,1,16
206,2,0,0,55.3,8.8,10.6,4,0,0,22,0.6666666666666666,0,65,5,4,3,9
207,3,0,1,115.1,4.5,8.4,6,0,0,24,1.0,0,68,0,0,-3,-9
208,4,0,0,112.9,3.8,12.5,8,0,0,22,0.8,0,67,2,0,-6,-45
209,5,0,1,85.9,6.3,9.1,4,2,0,16,0.4,0,60,0,0,6,45
210,6,0,0,84.0,3.9,8.3,10,0,0,16,1.0,1,80,0,1,4,15
